show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s178,TV Show,Sample Title 178,Director 29,"Actor 61, Actor 138",Germany,14-07-2018,2001,TV-14,2 Seasons,Documentary,Sample description for Tableau practice dataset.
s179,Movie,Sample Title 179,Director 31,"Actor 63, Actor 132",Japan,09-04-2020,2003,TV-MA,103 min,Horror,Sample description for Tableau practice dataset.
s180,TV Show,Sample Title 180,Director 14,"Actor 30, Actor 168",South Korea,01-07-2019,2021,PG-13,4 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s181,Movie,Sample Title 181,Director 16,"Actor 2, Actor 191",South Korea,12-01-2016,2003,TV-MA,84 min,Drama,Sample description for Tableau practice dataset.
s182,Movie,Sample Title 182,Director 29,"Actor 77, Actor 175",Brazil,26-09-2016,2016,PG,116 min,Thriller,Sample description for Tableau practice dataset.
s183,Movie,Sample Title 183,Director 9,"Actor 96, Actor 174",Japan,19-02-2020,2003,R,100 min,Thriller,Sample description for Tableau practice dataset.
s184,TV Show,Sample Title 184,Director 23,"Actor 1, Actor 176",United Kingdom,27-05-2017,2013,TV-Y7,1 Seasons,Horror,Sample description for Tableau practice dataset.
s185,Movie,Sample Title 185,Director 29,"Actor 80, Actor 127",Japan,01-11-2018,2015,R,85 min,Romance,Sample description for Tableau practice dataset.
s186,Movie,Sample Title 186,Director 5,"Actor 24, Actor 127",France,07-04-2018,2009,PG,119 min,Thriller,Sample description for Tableau practice dataset.
s187,Movie,Sample Title 187,Director 21,"Actor 75, Actor 162",Germany,12-02-2016,2016,TV-Y7,101 min,Action,Sample description for Tableau practice dataset.
s188,TV Show,Sample Title 188,Director 31,"Actor 49, Actor 123",United States,15-07-2022,2016,TV-14,3 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s189,TV Show,Sample Title 189,Director 10,"Actor 89, Actor 158",United States,21-10-2016,2013,TV-MA,2 Seasons,Thriller,Sample description for Tableau practice dataset.
s190,Movie,Sample Title 190,Director 6,"Actor 11, Actor 180",United Kingdom,29-08-2020,2006,TV-Y7,109 min,Sci-Fi,Sample description for Tableau practice dataset.
s191,TV Show,Sample Title 191,Director 18,"Actor 82, Actor 103",Brazil,20-04-2018,2008,PG-13,2 Seasons,Documentary,Sample description for Tableau practice dataset.
s192,TV Show,Sample Title 192,Director 30,"Actor 96, Actor 186",Germany,25-05-2022,2000,TV-14,2 Seasons,Romance,Sample description for Tableau practice dataset.
s193,Movie,Sample Title 193,Director 37,"Actor 46, Actor 157",Spain,06-08-2016,2023,PG-13,127 min,Horror,Sample description for Tableau practice dataset.
s194,TV Show,Sample Title 194,Director 1,"Actor 72, Actor 102",Brazil,12-04-2018,2005,TV-14,4 Seasons,Comedy,Sample description for Tableau practice dataset.
s195,Movie,Sample Title 195,Director 40,"Actor 65, Actor 132",United States,25-10-2018,2002,TV-Y,130 min,Documentary,Sample description for Tableau practice dataset.
s196,TV Show,Sample Title 196,Director 27,"Actor 49, Actor 179",Canada,27-03-2017,2003,R,2 Seasons,Horror,Sample description for Tableau practice dataset.
s197,TV Show,Sample Title 197,Director 1,"Actor 44, Actor 154",United Kingdom,30-05-2021,2009,TV-Y,5 Seasons,Drama,Sample description for Tableau practice dataset.
s198,TV Show,Sample Title 198,Director 34,"Actor 27, Actor 199",France,19-12-2017,2024,PG-13,4 Seasons,Adventure,Sample description for Tableau practice dataset.
s199,Movie,Sample Title 199,Director 3,"Actor 82, Actor 105",South Korea,09-06-2018,2018,TV-Y,102 min,Adventure,Sample description for Tableau practice dataset.
s200,Movie,Sample Title 200,Director 12,"Actor 58, Actor 145",Japan,20-01-2020,2011,TV-Y7,85 min,Romance,Sample description for Tableau practice dataset.
